Mom ID,i607,i607,i607,i607,i614,i621,i621,i597,i629,i621,i598,i600,i600,i600,i632,i629,i629,i642,i621,i629,i621,i621,i2034,i2021,i2021,i2036,i2034,i2023,i596,i2036,i596,i596,i2029,i605,i2034,i2034,i2029,i596,i2021,i2021,i2034,i2034,i2034,i2034,i2029,i2104,i2104,i2034,i2034,i2034,i2034,i2034
Birthdate,38553,38565,38553,38565,38553,38571,38577,38557,38569,38571,38581,38557,38557,38557,38557,38569,38581,38557,38571,38581,38583,38583,38625,38637,38649,38681,38597,38653,38591,38681,38591,38591,38611,38615,38621,38597,38611,38595,38601,38601,38625,38603,38603,38603,38611,38603,38603,38607,38611,38621,38607,38611
ID,i864,i865,i866,i867,i868,i869,i870,i871,i872,i873,i874,i875,i877,i878,i879,i880,i881,i882,i883,i884,i2387,i2388,i2389,i2390,i2391,i2392,i2393,i2394,i2395,i2396,i2397,i2398,i2399,i2400,i2401,i2402,i2403,i2404,i2405,i2406,i2407,i2408,i2409,i2410,i2411,i2412,i2413,i2414,i2415,i2416,i2417,i2418
Vial,MB1,MB1,MB2,MB2,MB3,MB3,MB3,MB4,MB4,MB4,MB4,MB5,MB6,MB7,MB8,MB8,MB8,MB9,MB9,MB9,MB10,MB11,mb1,mb1,mb1,mb1,mb2,mb2,mb3,mb3,mb4,mb5,mb6,mb6,mb6,mb7,mb8,mb12,mb12,mb13,mb13,mb14,mb15,mb16,mb16,mb17,mb18,mb19,mb19,mb19,mb20,mb20
63,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,11,,,,,,11,,,23,,,,,,
65,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,12,,,,,,11,,,23,,,,,,
67,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,12,,,,,,11,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
