Mom ID,i1407,i1378,i1386,i1378,i1390,i1380,i1399,i1380,i1386,i1376,i1376,i3154,i3156,i3154,i3160,i3160,i3157,i3154,i1405,i1376,i1399,i3154,i3154,i3160,i3162,i1386,i1376,i1386,i1390,i1376,i1386,i1376,i1390,i1390,i1386,i1376,i1395,i1390,i1386,i3163,i1395,i3162,i3160
Birthdate,38553,38553,38575,38581,38561,38567,38567,38591,38597,38605,38609,38633,38663,38665,38683,38671,38673,38675,38593,38615,38621,38623,38633,38671,38677,38593,38595,38597,38613,38633,38593,38595,38595,38613,38615,38633,38595,38613,38615,38671,38595,38677,38683
ID,i1623,i1624,i1625,i1626,i1627,i1628,i1629,i3383,i3384,i3385,i3386,i3387,i3388,i3389,i3390,i3391,i3392,i3393,i3394,i3395,i3396,i3397,i3398,i3399,i3400,i3401,i3402,i3403,i3404,i3405,i3406,i3407,i3408,i3409,i3410,i3411,i3412,i3413,i3414,i3415,i3416,i3417,i3418
Vial,mc1,mc2,mc2,mc2,mc3,mc3,mc4,mc1,mc1,mc1,mc2,mc2,mc2,mc3,mc3,mc4,mc4,mc4,mc5,mc5,mc5,mc5,mc5,mc5,mc5,mc7,mc7,mc7,mc7,mc7,mc6,mc6,mc8,mc8,mc8,mc8,mc9,mc9,mc9,mc9,mc10,mc10,mc10
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
95,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
97,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
99,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
101,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
103,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
105,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
107,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
109,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
111,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
113,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
115,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
117,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
119,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1
