Mom ID,i3000,i1279,i3001,i3001,i1262,i3001,i1279,i3079,i3010,i1279,i3011,i3012,i3016,i3017,i3018,i1270,i3019,i3020,i3020,i3017,i3017,i3018,i3021,i3024,i1262,i3011,i3025,NA,i3026,i1262,i1274,i1278,i3027,i1301,i1279,i1262,i3019,i3018,i3030,i1278,i3031,i1279,i3018,i3111,i1279,i3002,i3003,i3002,i3004,i3005,i1281,i3006,i3008,i3009,i1281,i3084,i3013,i3014,i3015,i3013,i1281,i3013,i1281,i3006,i3022,i3014,i3023,i1281,i3023,i3080,i1308,i3002,i3028,i3029,i3013,i3006,i3013,i3006,i3013,i3028,i3028,i3020,i3006,i1281,i3080,i3028,i3003,i3028,i1301
13,6,0,,,,7,,4,3,,8,6,7,,12,5,5,,7,,,8,1,,7,7,1,,,5,6,0,,2,,2,7,6,,3,8,,,3,,,,3,5,4,3,,,2,3,4,,,,,0,4,0,0,,,,0,,0,,,2,,,,,3,,,,5,2,,,,,,5
15,9,0,,,,,,5,7,,9,10,7,,12,7,9,,10,,,8,1,,12,,4,,,8,8,1,,3,,2,7,6,,,,,,5,,,,6,5,4,6,,,2,6,4,,,,,2,7,0,0,,,,0,,0,,,5,,,,,3,,,,6,2,,,,,,5
17,11,0,,,,,,5,10,,9,10,7,,12,15,9,,10,,,12,1,,12,,5,,,9,8,4,,5,,4,7,6,,,,,,5,,,,9,7,4,6,,,3,6,6,,,,,5,7,0,0,,,,0,,0,,,5,,,,,5,,,,6,,,,,,,5
19,14,0,,,,,,6,14,,,,,,,15,12,,13,,,15,1,,,,5,,,9,8,4,,5,,4,7,6,,,,,,7,,,,9,11,4,8,,,9,7,8,,,,,5,7,1,0,,,,0,,0,,,5,,,,,5,,,,6,,,,,,,5
21,14,0,,,,,,6,14,,,,,,,19,12,,16,,,15,1,,,,5,,,12,9,7,,5,,4,7,6,,,,,,10,,,,12,12,4,8,,,12,8,8,,,,,8,9,3,2,,,,0,,0,,,7,,,,,5,,,,6,,,,,,,8
23,17,0,,,,,,6,14,,,,,,,19,14,,20,,,15,1,,,,5,,,15,9,7,,5,,5,7,7,,,,,,12,,,,12,12,4,8,,,,8,8,,,,,8,9,3,2,,,,0,,0,,,7,,,,,8,,,,9,,,,,,,12
25,17,0,,,,,,6,16,,,,,,,21,14,,20,,,15,1,,,,5,,,15,9,,,5,,5,7,10,,,,,,14,,,,12,15,5,11,,,,10,8,,,,,9,9,4,2,,,,0,,0,,,9,,,,,10,,,,9,,,,,,,12
27,22,0,,,,,,6,16,,,,,,,22,17,,22,,,15,1,,,,5,,,15,9,,,5,,5,7,10,,,,,,14,,,,14,18,8,11,,,,10,8,,,,,11,11,4,4,,,,0,,0,,,9,,,,,10,,,,11,,,,,,,15
29,22,0,,,,,,6,18,,,,,,,22,17,,26,,,15,,,,,5,,,17,9,,,5,,6,7,10,,,,,,14,,,,15,18,8,11,,,,10,8,,,,,11,12,5,4,,,,0,,0,,,11,,,,,12,,,,13,,,,,,,15
31,24,0,,,,,,11,18,,,,,,,24,17,,26,,,15,,,,,5,,,17,9,,,5,,8,,13,,,,,,17,,,,18,,8,11,,,,12,8,,,,,13,12,7,6,,,,0,,0,,,11,,,,,12,,,,13,,,,,,,15
33,24,0,,,,,,11,21,,,,,,,24,19,,26,,,15,,,,,5,,,,9,,,5,,8,,13,,,,,,17,,,,21,,8,15,,,,12,8,,,,,13,15,,9,,,,0,,0,,,11,,,,,12,,,,16,,,,,,,17
35,24,0,,,,,,14,21,,,,,,,24,21,,27,,,,,,,,,,,,,,,,,9,,14,,,,,,20,,,,23,,9,17,,,,,,,,,,15,15,,9,,,,0,,0,,,11,,,,,,,,,20,,,,,,,17
37,,0,,,,,,17,,,,,,,,24,21,,29,,,,,,,,,,,,,,,,,13,,14,,,,,,20,,,,25,,11,19,,,,,,,,,,17,,,10,,,,0,,0,,,13,,,,,,,,,20,,,,,,,19
39,,0,,,,,,17,,,,,,,,24,24,,30,,,,,,,,,,,,,,,,,13,,14,,,,,,22,,,,25,,14,22,,,,,,,,,,17,,,,,,,0,,0,,,13,,,,,,,,,24,,,,,,,19
41,,0,,,,,,21,,,,,,,,24,24,,33,,,,,,,,,,,,,,,,,13,,15,,,,,,26,,,,26,,14,22,,,,,,,,,,17,,,,,,,0,,0,,,13,,,,,,,,,24,,,,,,,21
43,,0,,,,,,21,,,,,,,,24,27,,33,,,,,,,,,,,,,,,,,13,,15,,,,,,26,,,,,,,23,,,,,,,,,,17,,,,,,,0,,0,,,14,,,,,,,,,25,,,,,,,25
45,,0,,,,,,24,,,,,,,,24,27,,34,,,,,,,,,,,,,,,,,13,,16,,,,,,26,,,,,,,24,,,,,,,,,,17,,,,,,,0,,0,,,14,,,,,,,,,25,,,,,,,25
47,,0,,,,,,24,,,,,,,,24,27,,36,,,,,,,,,,,,,,,,,13,,18,,,,,,29,,,,,,,24,,,,,,,,,,19,,,,,,,0,,0,,,15,,,,,,,,,26,,,,,,,27
49,,0,,,,,,24,,,,,,,,24,28,,36,,,,,,,,,,,,,,,,,13,,18,,,,,,29,,,,,,,26,,,,,,,,,,19,,,,,,,0,,0,,,18,,,,,,,,,26,,,,,,,27
51,,0,,,,,,24,,,,,,,,24,28,,37,,,,,,,,,,,,,,,,,14,,18,,,,,,31,,,,,,,26,,,,,,,,,,19,,,,,,,0,,0,,,18,,,,,,,,,26,,,,,,,29
53,,0,,,,,,24,,,,,,,,25,30,,37,,,,,,,,,,,,,,,,,16,,20,,,,,,,,,,,,,29,,,,,,,,,,21,,,,,,,0,,0,,,18,,,,,,,,,29,,,,,,,29
55,,0,,,,,,24,,,,,,,,27,,,39,,,,,,,,,,,,,,,,,16,,20,,,,,,,,,,,,,30,,,,,,,,,,21,,,,,,,0,,0,,,18,,,,,,,,,30,,,,,,,31
57,,0,,,,,,24,,,,,,,,27,,,40,,,,,,,,,,,,,,,,,18,,21,,,,,,,,,,,,,30,,,,,,,,,,22,,,,,,,0,,0,,,18,,,,,,,,,30,,,,,,,31
59,,0,,,,,,24,,,,,,,,27,,,41,,,,,,,,,,,,,,,,,19,,23,,,,,,,,,,,,,31,,,,,,,,,,24,,,,,,,0,,0,,,18,,,,,,,,,32,,,,,,,
61,,0,,,,,,26,,,,,,,,27,,,43,,,,,,,,,,,,,,,,,19,,24,,,,,,,,,,,,,32,,,,,,,,,,24,,,,,,,0,,0,,,18,,,,,,,,,32,,,,,,,
63,,0,,,,,,26,,,,,,,,28,,,46,,,,,,,,,,,,,,,,,20,,25,,,,,,,,,,,,,32,,,,,,,,,,24,,,,,,,0,,0,,,18,,,,,,,,,34,,,,,,,
65,,0,,,,,,26,,,,,,,,29,,,48,,,,,,,,,,,,,,,,,21,,25,,,,,,,,,,,,,32,,,,,,,,,,27,,,,,,,0,,0,,,18,,,,,,,,,34,,,,,,,
67,,0,,,,,,26,,,,,,,,29,,,48,,,,,,,,,,,,,,,,,21,,27,,,,,,,,,,,,,34,,,,,,,,,,27,,,,,,,0,,0,,,,,,,,,,,,34,,,,,,,
69,,0,,,,,,,,,,,,,,32,,,49,,,,,,,,,,,,,,,,,21,,27,,,,,,,,,,,,,34,,,,,,,,,,27,,,,,,,0,,0,,,,,,,,,,,,36,,,,,,,
71,,0,,,,,,,,,,,,,,32,,,49,,,,,,,,,,,,,,,,,21,,27,,,,,,,,,,,,,34,,,,,,,,,,31,,,,,,,0,,0,,,,,,,,,,,,36,,,,,,,
73,,0,,,,,,,,,,,,,,32,,,50,,,,,,,,,,,,,,,,,22,,27,,,,,,,,,,,,,34,,,,,,,,,,31,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
75,,0,,,,,,,,,,,,,,32,,,50,,,,,,,,,,,,,,,,,22,,29,,,,,,,,,,,,,34,,,,,,,,,,31,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
77,,0,,,,,,,,,,,,,,33,,,52,,,,,,,,,,,,,,,,,22,,29,,,,,,,,,,,,,35,,,,,,,,,,31,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
79,,0,,,,,,,,,,,,,,33,,,52,,,,,,,,,,,,,,,,,22,,29,,,,,,,,,,,,,35,,,,,,,,,,31,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
81,,0,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,22,,29,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
83,,0,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,22,,29,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
85,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,29,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
87,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,29,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
