Mom ID,i3500,i931,i3501,i3504,i3503,i3505,i3508,i3509,i3510,i3510,i3513,i3510,i3503,i3503,i3510,i915,i3510,i3503,i3518,i3519,i3502,i3513,i931,i3510,i3520,i948,i952,i3510,i935,i3519,i3513,i3509,i3523,i3524,i3503,i915,i3509,i3513,i3502,i3527,i3520,i3648,i938,i3646,i3610,i3617,i3506,i3507,i3511,i3648,i938,i3507,i3507,i3512,i3512,i921,i3514,i3507,i3642,i3515,i3514,i3516,i3507,i3606,i3515,i3517,i938,i3642,i3606,i3617,i3517,i3642,i3632,i3646,i941,i3517,i3519,i3646,i3519,i3610,i3519,i3521,i941,i3522,i3519,i933,i3502,i3522,i3525,i3526
Birthdate,38505,38573,38505,38511,38545,38565,38505,38515,38529,38507,38545,38509,38517,38523,38529,38517,38509,38525,38511,38527,38513,38539,38543,38517,38545,38547,38539,38523,38547,38551,38529,38523,38563,38523,38535,38525,38529,38535,38547,38543,38551,38593,38599,38625,38649,38661,38609,38629,38587,38593,38613,38619,38663,38685,38685,38595,38599,38629,38631,38685,38599,38603,38629,38653,38685,38601,38613,38631,38653,38667,38601,38631,38653,38631,38595,38601,38603,38631,38603,38635,38603,38585,38595,38605,38603,38565,38573,38605,38565,38565
ID,i915,i916,i917,i918,i920,i921,i922,i923,i924,i925,i926,i927,i928,i929,i930,i931,i932,i933,i934,i935,i936,i937,i938,i939,i940,i941,i942,i943,i944,i945,i946,i948,i949,i950,i951,i952,i953,i954,i955,i956,i957,i3600,i3601,i3602,i3603,i3604,i3605,i3606,i3607,i3608,i3609,i3610,i3611,i3612,i3613,i3614,i3615,i3616,i3617,i3618,i3619,i3620,i3621,i3622,i3623,i3624,i3625,i3626,i3627,i3628,i3629,i3630,i3631,i3632,i3633,i3634,i3635,i3636,i3637,i3638,i3639,i3640,i3641,i3642,i3643,i3644,i3645,i3646,i3647,i3648
Vial,aa1,aa1,aa2,aa2,aa2,aa2,aa3,aa3,aa3,aa4,aa4,aa5,aa5,aa5,aa5,aa5 (aa11),aa6,aa6,aa7,aa7,aa8,aa8,aa8 (aa14),aa9,aa9,aa10 (aa15),aa11 (aa16),aa12,aa12,aa12,aa12 (aa17),aa13,aa13,aa14,aa14,aa15,aa16,aa19,aa19,aa20,aa20,aa1,aa1,aa1,aa1,aa1,aa2,aa2,aa3,aa3,aa3,aa3,aa3,aa3,aa1,aa4,aa4,aa4,aa4,aa4,aa5,aa5,aa5,aa5,aa5,aa6,aa6,aa6,aa6,aa6,aa7,aa7,aa7,aa8,aa9,aa9,aa9,aa9,aa10,aa10,aa11,aa12,aa12,aa12,aa13,aa14,aa14,aa14,aa15,aa16
Age,1,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,33,34,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
33,-1,-1,-1,-1,-1,2.179,-1,-1,2.343,2.262,2.439,-1,-1,-1,-1,2.51,-1,2.403,-1,2.377,-1,-1,2.45,-1,2.164,2.383,2.337,-1,-1,-1,2.442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.42,-1,-1,-1,2.321,-1,-1,-1,-1,-1,-1,2.268,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.198,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.321,-1,-1,-1,-1,-1,2.221
35,-1,-1,-1,-1,-1,2.346,-1,-1,2.395,2.276,2.335,-1,-1,-1,-1,2.469,-1,2.472,-1,2.317,-1,-1,2.433,-1,2.277,2.282,2.421,-1,-1,-1,2.384,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.313,-1,-1,-1,2.126,-1,-1,-1,-1,-1,-1,2.272,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.321,-1,-1,-1,-1,-1,2.296
37,-1,-1,-1,-1,-1,2.444,-1,-1,2.472,2.296,2.407,-1,-1,-1,-1,2.367,-1,2.358,-1,2.325,-1,-1,2.44,-1,2.308,2.343,2.433,-1,-1,-1,2.494,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.321,-1,-1,-1,2.272,-1,-1,-1,-1,-1,-1,2.321,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.346,-1,-1,-1,-1,-1,-1
39,-1,-1,-1,-1,-1,2.444,-1,-1,2.43,-1,2.321,-1,-1,-1,-1,2.509,-1,2.349,-1,2.346,-1,-1,2.418,-1,2.296,2.321,2.498,-1,-1,-1,2.503,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.42,-1,-1,-1,2.321,-1,-1,-1,-1,-1,-1,2.346,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.244,-1,-1,-1,-1,-1,-1
41,-1,-1,-1,-1,-1,2.42,-1,-1,2.413,-1,-1,-1,-1,-1,-1,2.587,-1,2.457,-1,2.499,-1,-1,2.415,-1,2.469,2.272,2.528,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.444,-1,-1,-1,2.321,-1,-1,-1,-1,-1,-1,2.26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.395,-1,-1,-1,-1,-1,-1
43,-1,-1,-1,-1,-1,-1,-1,-1,2.397,-1,-1,-1,-1,-1,-1,2.498,-1,2.42,-1,2.46,-1,-1,2.444,-1,2.444,2.41,2.545,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.289,-1,-1,-1,2.321,-1,-1,-1,-1,-1,-1,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.469,-1,-1,-1,-1,-1,-1
45,-1,-1,-1,-1,-1,-1,-1,-1,2.546,-1,-1,-1,-1,-1,-1,2.521,-1,2.469,-1,2.462,-1,-1,2.519,-1,-1,2.411,2.494,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.441,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.444,-1,-1,-1,-1,-1,-1
47,-1,-1,-1,-1,-1,-1,-1,-1,2.504,-1,-1,-1,-1,-1,-1,2.677,-1,2.474,-1,2.446,-1,-1,2.484,-1,-1,2.462,2.543,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.519,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.444,-1,-1,-1,-1,-1,-1
49,-1,-1,-1,-1,-1,-1,-1,-1,2.436,-1,-1,-1,-1,-1,-1,2.716,-1,2.442,-1,2.501,-1,-1,2.559,-1,-1,2.333,2.584,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.445,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.428,-1,-1,-1,-1,-1,-1
51,-1,-1,-1,-1,-1,-1,-1,-1,2.537,-1,-1,-1,-1,-1,-1,2.718,-1,2.445,-1,2.451,-1,-1,2.519,-1,-1,2.506,2.512,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.519,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.469,-1,-1,-1,-1,-1,-1
53,-1,-1,-1,-1,-1,-1,-1,-1,2.57,-1,-1,-1,-1,-1,-1,2.547,-1,2.486,-1,2.389,-1,-1,2.515,-1,-1,-1,2.45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.469,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.469,-1,-1,-1,-1,-1,-1
55,-1,-1,-1,-1,-1,-1,-1,-1,2.568,-1,-1,-1,-1,-1,-1,2.653,-1,2.525,-1,2.443,-1,-1,2.573,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.593,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.469,-1,-1,-1,-1,-1,-1
57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.568,-1,2.415,-1,2.563,-1,-1,2.568,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.593,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.519,-1,-1,-1,-1,-1,-1
59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.725,-1,2.512,-1,2.519,-1,-1,2.691,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.495,-1,-1,-1,-1,-1,-1
61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.759,-1,2.586,-1,2.543,-1,-1,2.667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.469,-1,-1,-1,-1,-1,-1
