Mom ID,i3026,i3031,i3021,i3020,i3064,i3058,i3058,i3047,i3048,i3020,i1281,i3011,i1301,i1281,i3064,i3040,i3020,i3047,i3012,i3061,i3025,i3031,i3012,i3026,i1269,i1269,i3066,i3064,i3002,i3029,i3066,i3015,i3077,i3077,i3008,i3077,i3089,i3038,i3038,i3040,i3086,i3067,i3002,i3003,i3002,i3090,i3009,i3091,i3021,i3066,i3003,i3065,i3068,i3064,i3062,i3002,i3003,i3013,i3029,i3014,i3022,i3112,i3111,i3062,i3014,i3003,i3064
Birthdate,38547,38567,38573,38547,38559,38571,38581,38547,38551,38561,38575,38547,38555,38575,38559,38575,38555,38557,38557,38567,38571,38577,38571,38577,38595,38601,38605,38607,38615,38619,38629,38637,38655,38661,38669,38675,38685,38583,38589,38593,38601,38621,38625,38637,38645,38661,38671,38679,38621,38629,38637,38655,38583,38593,38611,38621,38631,38655,38675,38679,38655,38661,38595,38601,38661,38663,38603
ID,i1563,i1564,i1565,i1566,i1567,i1568,i1569,i1570,i1571,i1572,i1573,i1574,i1576,i1577,i1578,i1579,i1580,i1581,i1582,i1583,i1584,i1585,i1586,i1587,i3245,i3246,i3247,i3248,i3249,i3250,i3251,i3252,i3253,i3254,i3255,i3256,i3257,i3258,i3259,i3260,i3261,i3262,i3263,i3264,i3265,i3266,i3267,i3268,i3269,i3270,i3271,i3272,i3273,i3274,i3275,i3276,i3277,i3278,i3279,i3280,i3281,i3282,i3283,i3284,i3285,i3286,i3287
Vial,g1,g1,g1,g2,g2,g2,g2,g3,g3,g3,g3,g4,g4,g4,g5,g5,g6,g7,g8,g9,g10,g10,g11,g11,g1,g1,g1,g1,g1,g1,g1,g1,g1,g1,g1,g1,g1,g2,g2,g2,g2,g2,g2,g2,g2,g2,g2,g2,g3,g3,g3,g3,g4,g4,g4,g4,g4,g4,g4,g4,g5,g5,g6,g6,g6,g7,g8
Age,1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
1,0.815,0.781,0.716,0.84,0.79,0.83,0.765,0.741,0.739,0.79,0.691,0.765,0.741,0.79,0.765,0.765,0.79,0.79,0.815,0.765,0.855,0.84,0.79,0.964,0.741,0.747,0.81,0.79,0.763,0.793,0.809,0.774,0.691,0.788,0.84,0.688,0.697,0.691,0.741,0.79,0.781,0.759,na,0.809,0.72,0.825,0.708,0.755,0.783,0.765,0.796,0.79,0.741,0.963,0.723,0.812,0.78,0.765,0.879,0.786,0.815,0.766,0.765,0.725,0.718,0.794,0.676
57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,,-1
59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,,-1
61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,,-1
63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,,-1
65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,,-1
67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,,-1
69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,,-1
71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,,-1
73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,,-1
75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,,-1
77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,,-1
79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,,-1
81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,,-1
83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,,-1
