Mom ID,i121,i122,i122,i130,i130,i130,i123,i130,i130,i123,i123,i119,i128,i128,i122,i122,i128,i130,i130,i127,i112,i119,i131,i1684,i1693,i1689,i114,i1693,i1689,i1703,i116,i1692,i137,i134,i1704,i1702,i1703,i119,i123,i134,i130,i134,i134,i123
Birth date,38553,38559,38559,38565,38559,38555,38563,38559,38559,38563,38553,38561,38559,38563,38553,38553,38563,38565,38569,38559,38559,38567,38557,38571,38619,38675,38603,38619,38681,38619,38595,38667,38593,38593,38613,38621,38639,38561,38577,38593,38587,38593,38579,38577
ID,i416,i418,i420,i423,i425,i427,i428,i430,i432,i435,i436,i438,i441,i445,i446,i447,i450,i453,i456,i458,i460,i461,i462,i1868,i1869,i1870,i1871,i1872,i1873,i1874,i1875,i1876,i1877,i1878,i1879,i1880,i1881,i1882,i1883,i1884,i1885,i1886,i1887,i1888
Vial,mb1,mb2,mb3,mb4,mb5,mb6,mb6,mb7,mb8,mb9,mb10,mb10,mb11,mb12,mb13,mb14,mb15,mb16,mb17,mb18,mb19,mb19,mb20,mb1,mb1,mb1,mb2,mb2,mb2,mb3,mb4,mb4,mb5,mb6,mb7,mb8,mb9,mb10,mb10,mb10,mb13,mb14,mb16,mb19
Age ,1,3,5,8,10,12,13,15,17,20,21,23,26,30,31,32,35,38,41,43,45,46,47,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
17.000,2.321,2.198,2.272,2.247,2.123,-1.000,2.272,2.123,2.222,2.148,-1.000,-1.000,2.148,1.827,2.123,2.272,2.025,-1.000,2.198,2.099,-1.000,-1.000,2.099,-1.000,1.852,,-1.000,1.852,,1.975,1.778,-1.000,2.198,2.099,1.951,2.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
19.000,2.296,2.198,2.321,2.247,2.123,-1.000,2.222,2.173,2.272,2.198,-1.000,-1.000,2.198,1.852,2.173,2.247,2.099,-1.000,2.321,2.123,-1.000,-1.000,2.099,-1.000,1.975,,-1.000,1.901,,1.975,1.827,-1.000,2.247,2.272,2.025,1.975,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
21.000,2.395,2.222,2.321,2.247,2.123,-1.000,2.222,2.321,2.370,2.148,-1.000,-1.000,2.222,1.852,2.173,2.247,2.099,-1.000,2.321,2.198,-1.000,-1.000,2.198,-1.000,2.074,,-1.000,1.827,,2.074,1.852,-1.000,2.198,2.198,2.032,2.099,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
23.000,2.395,2.247,2.346,2.272,2.272,-1.000,2.321,2.469,2.370,2.198,-1.000,-1.000,2.321,2.000,2.247,2.272,2.148,-1.000,2.346,2.272,-1.000,-1.000,2.296,-1.000,1.975,,-1.000,2.074,,2.123,1.852,-1.000,2.321,2.222,2.148,1.891,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
25.000,2.469,2.272,2.346,-1.000,2.296,-1.000,2.346,2.420,2.370,2.321,-1.000,-1.000,2.346,2.074,2.222,2.321,2.222,-1.000,2.444,2.272,-1.000,-1.000,2.296,-1.000,1.993,,-1.000,1.917,,1.909,1.852,-1.000,2.346,2.198,2.074,2.099,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
27.000,2.469,2.222,2.346,-1.000,-1.000,-1.000,2.395,2.444,2.420,2.321,-1.000,-1.000,2.346,2.074,2.247,2.321,2.222,-1.000,2.321,2.321,-1.000,-1.000,2.296,-1.000,-1.000,,-1.000,2.074,,2.099,1.951,-1.000,2.444,2.321,2.074,2.321,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
29.000,2.519,-1.000,2.321,-1.000,-1.000,-1.000,2.296,2.469,2.420,2.296,-1.000,-1.000,2.395,2.000,2.272,2.420,2.272,-1.000,2.469,2.321,-1.000,-1.000,2.296,-1.000,-1.000,,-1.000,2.074,,2.099,2.025,-1.000,2.444,2.321,2.198,2.158,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
31.000,2.543,-1.000,2.420,-1.000,-1.000,-1.000,-1.000,2.469,2.519,2.346,-1.000,-1.000,2.469,2.074,2.346,2.420,2.222,-1.000,2.469,-1.000,-1.000,-1.000,2.346,-1.000,-1.000,,-1.000,2.054,,2.162,2.025,-1.000,2.395,2.222,2.062,2.272,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
33.000,2.568,-1.000,2.395,-1.000,-1.000,-1.000,-1.000,2.370,2.519,2.346,-1.000,-1.000,2.420,2.074,-1.000,2.346,2.321,-1.000,2.395,-1.000,-1.000,-1.000,2.370,-1.000,-1.000,,-1.000,2.173,,2.148,2.025,-1.000,2.469,2.272,2.099,2.296,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
35.000,2.593,-1.000,2.370,-1.000,-1.000,-1.000,-1.000,2.469,2.519,2.346,-1.000,-1.000,2.420,-1.000,-1.000,2.395,2.444,-1.000,2.370,-1.000,-1.000,-1.000,2.370,-1.000,-1.000,,-1.000,2.173,,2.222,2.049,-1.000,2.444,2.321,2.173,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
37.000,2.593,-1.000,2.420,-1.000,-1.000,-1.000,-1.000,2.444,2.519,2.222,-1.000,-1.000,2.444,-1.000,-1.000,2.395,2.346,-1.000,2.370,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,2.196,1.975,-1.000,2.444,2.296,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
39.000,2.617,-1.000,2.444,-1.000,-1.000,-1.000,-1.000,-1.000,2.568,2.272,-1.000,-1.000,2.420,-1.000,-1.000,2.444,2.395,-1.000,2.494,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,2.222,1.965,-1.000,2.395,2.346,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
41.000,2.568,-1.000,2.469,-1.000,-1.000,-1.000,-1.000,-1.000,2.568,2.321,-1.000,-1.000,2.346,-1.000,-1.000,-1.000,2.346,-1.000,2.494,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,2.346,2.099,-1.000,2.438,2.347,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
43.000,2.469,-1.000,2.296,-1.000,-1.000,-1.000,-1.000,-1.000,2.420,2.321,-1.000,-1.000,2.469,-1.000,-1.000,-1.000,2.321,-1.000,2.494,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,2.222,-1.000,-1.000,2.444,2.444,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
45.000,2.568,-1.000,2.321,-1.000,-1.000,-1.000,-1.000,-1.000,2.395,2.444,-1.000,-1.000,2.420,-1.000,-1.000,-1.000,2.321,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,2.321,-1.000,-1.000,2.444,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
47.000,2.642,-1.000,2.346,-1.000,-1.000,-1.000,-1.000,-1.000,2.444,2.444,-1.000,-1.000,2.420,-1.000,-1.000,-1.000,2.321,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,2.346,-1.000,-1.000,2.543,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
49.000,2.617,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.593,2.519,-1.000,-1.000,2.469,-1.000,-1.000,-1.000,2.370,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,2.346,-1.000,-1.000,2.469,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
51.000,2.593,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.593,2.444,-1.000,-1.000,2.395,-1.000,-1.000,-1.000,2.420,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,2.345,-1.000,-1.000,2.542,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
53.000,2.568,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.593,2.321,-1.000,-1.000,2.469,-1.000,-1.000,-1.000,2.444,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,2.346,-1.000,-1.000,2.568,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
55.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.543,2.469,-1.000,-1.000,2.444,-1.000,-1.000,-1.000,2.444,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,2.346,-1.000,-1.000,2.469,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
57.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.568,-1.000,-1.000,-1.000,2.469,-1.000,-1.000,-1.000,2.395,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,2.346,-1.000,-1.000,2.500,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
59.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.617,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,2.346,-1.000,-1.000,2.519,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
61.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.617,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,2.346,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
63.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
65.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
67.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
69.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
71.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
73.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
75.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
77.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
79.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
81.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
83.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
85.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
87.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
89.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
91.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
93.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
95.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
97.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
99.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
101.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
103.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
105.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
107.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
109.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
111.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
113.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
115.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
117.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
119.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
