id,715a1,715a2,715a3,715a4,715a5,715a6,715a7,715a8,715a9,715a10,715a11,715a12,715a13,715a14,715a15,715a16,715a17,715a18,715a19,715a20,715a21,715a22,715a23,715a24,715a25,715a26,715a27,715a28,715a29,715a30,715a31,715a32,715a33,715a34,715a35,715a36,715a37,715a38,715a39
momid,m17,m17,715a2,m15,m15,a2,m15,a2,a2,m14,m14,a2,a4,a5,a5,a6,a6,a6,a6,a6,a6,a1,a5,a5,a4,a9,a2,a5,a5,a5,a5,a1,a9,a9,a9,a4,a5,m3,a7
dob,39544,39544,39562,39582,39582,39590,39596,39600,39600,39604,39604,39606,39632,39634,39636,39644,39644,39644,39644,39644,39644,39646,39648,39648,39654,39658,39660,39670,39670,39670,39670,39676,39676,39676,39676,39678,39680,39708,39720
vial,715a1,715a2,715a3,715a1,715a2,715a3,715a1,715a5,715a6,715a3,715a4,715a6,715a4,715a4,715a2,715a2,715a7,715a9,715a10,715a11,715a12,715a10,715a1,715a8,715a5,715a8,715a10,715a2,715a3,715a10,715a12,715a6,715a7,715a10,715a11,715a12,715a1,715a7,715a3
53,,,,,-1,,,7.9,,7.45,,8.1,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,
55,,,,,,,,-1,,8.95,,8.2,,,,,,,,,,,,,,,,7.75,,,,,,,,,,,
57,,,,,,,,,,8.75,,8.2,,,,,,,,,,,,,,,,7.85,,,,,,,,,,,
59,,,,,,,,,,8.8,,8.2,,,,,,,,,,,,,,,,8,,,,,,,,,,,
61,,,,,,,,,,8.9,,8.5,,,,,,,,,,,,,,,,-1,,,,,,,,,,,
63,,,,,,,,,,8.5,,8.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,-1,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
